type,name,is_free,short_description,supported_languages,developers,publishers,platforms,genres,release_date,starting price,current price,currency,review_score,review_score_desc,total_positive,total_negative,total_reviews
game,Spot Girls Difference,False,"Spot Girls Difference is a game to find different things. Come on, find different things among all kinds of beautiful women. Every level will have a new beauty, and different places may be in any location of the beauty.","['Inglês', 'Francês', 'Italiano', 'Alemão', 'Espanhol (Espanha)', 'Dinamarquês', 'Ucraniano', 'Russo', 'Búlgaro', 'Húngaro', 'Turco', 'Grego', 'Norueguês', 'Checo', 'Japonês', 'Polaco', 'Tailandês', 'Sueco', 'Chinês simplificado', 'Chinês tradicional', 'Romeno', 'Finlandês', 'Holandês', 'Português (Portugal)', 'Português (Brasil)', 'Árabe', 'Coreano']",['Puzzle Game'],['Puzzle Game'],['windows'],Casual,25 jan. 2019,699,699,BRL,0,No user reviews,0,0,0
game,Space Journey,False,"Space Journey is a first-person space simulator. You will explore 6 levels: Asteroid Belt, Supernova, Orion, Infinite Space, Nebula and Dark Void.","['Inglês', 'Russo']",['Starmops'],['Starmops'],"['windows', 'mac']",Aventura,28 fev. 2020,449,224,BRL,0,No user reviews,0,0,0
dlc,Adventure in Kana Village-中文学习资料,True,Learning materials for players who use Chinese,"['Inglês', 'Chinês tradicional', 'Coreano']",['CoughCat'],['CoughCat Software'],['windows'],Casual,21 jan. 2019,0,0,BRL,0,No user reviews,0,0,0
dlc,Adventure in Kana Village-English Learning materials,True,Learning materials for players who use English,"['Inglês', 'Chinês tradicional', 'Coreano']",['CoughCat'],['CoughCat Software'],['windows'],Casual,21 jan. 2019,0,0,BRL,0,No user reviews,0,0,0
dlc,Adventure in Kana Village-ArtBook,True,Artbook: some wallpapers,"['Inglês', 'Chinês tradicional', 'Coreano']",['CoughCat'],['CoughCat Software'],['windows'],Casual,21 jan. 2019,0,0,BRL,0,No user reviews,0,0,0
game,Ancient Anathema,False,Resolva o mistério do desaparecimento do dono do cemitério. E não se esqueça de onde você tem que viver uma longa noite.,"['Inglês', 'Francês', 'Italiano', 'Alemão', 'Espanhol (Espanha)', 'Chinês tradicional', 'Chinês simplificado', 'Russo', 'Japonês']",['Yars'],['Yars'],['windows'],Indie,28 jan. 2019,699,699,BRL,0,2 user reviews,2,0,2
game,Here I Come,False,Stay alive in a deadly reality show.,"['Inglês', 'Japonês', 'Russo', 'Chinês simplificado', 'Alemão', 'Francês', 'Italiano', 'Espanhol (Espanha)', 'Coreano', 'Português (Brasil)']",['Crystar Games'],['Crystar Games'],['windows'],Indie,27 mai. 2021,1999,1999,BRL,0,No user reviews,0,0,0
game,Train Manager,False,Trains need to enter the station and leave. On their way there it would be kinda good that none of them crash. Crashes are bad and should be avoided. The passengers are probably not that happy if that happens. Make sure it won't happen and everything is good.,['Inglês'],['Cuddle Tree'],['Cuddle Tree'],['windows'],Indie,11 fev. 2019,229,229,BRL,0,No user reviews,0,0,0
game,"The Princess, the Stray Cat, and Matters of the Heart",False,"Once upon a time, after his mother passed away, a boy called Nora felt all alone in the world. He spent every day with his unique and kind hearted friends until one fateful day, he had a chance encounter with a princess from the Netherworld.","['Inglês', 'Japonês', 'Chinês simplificado', 'Chinês tradicional']",['TOKYOTOON'],"['TOKYOTOON', 'Fruitbat Factory']",['windows'],Casual,17 jun. 2019,5999,5999,BRL,0,2 user reviews,2,0,2
game,T.A.P.,False,"Tower defense is not! Tower Attack! Turret Attacking Platform. Build towers on a rolling ship, improve them, strengthen, build factories, extract resources, Swing skills, earn reputation. You will have 70 types of turrets, 70 skills, 8 active abilities, 5 types of ships. Try a more advanced version of tower defense.","['Inglês', 'Francês', 'Alemão', 'Russo']",['Anti-Ded GameDev'],['Anti-Ded GameDev'],['windows'],Casual,31 jan. 2019,1659,1659,BRL,0,No user reviews,0,0,0
